,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Condition
0,Nanortalik,60.1432,-45.2371,35.17,82,88,8.19,GL,overcast clouds
1,Arraial Do Cabo,-22.9661,-42.0278,68.92,89,100,17.52,BR,overcast clouds
2,College,64.8569,-147.8028,19.72,90,90,4.61,US,overcast clouds
3,Norman Wells,65.282,-126.8329,24.84,93,90,2.3,CA,light snow
4,Ribeira Grande,38.5167,-28.7,69.53,90,81,13.73,PT,broken clouds
5,Waingapu,-9.6567,120.2641,87.67,62,3,8.12,ID,clear sky
6,Kodiak,57.79,-152.4072,44.28,81,90,17.27,US,moderate rain
7,Bonthe,7.5264,-12.505,76.77,87,100,7.16,SL,moderate rain
8,Hobart,-42.8794,147.3294,55.26,62,75,1.01,AU,broken clouds
9,Tecoanapa,16.5167,-98.75,80.47,82,6,6.71,MX,clear sky
10,Namikupa,-10.8333,39.6,66.56,93,80,2.35,TZ,broken clouds
11,East London,-33.0153,27.9116,63.59,67,4,14.7,ZA,clear sky
12,Itoman,26.1247,127.6694,80.62,57,75,4.61,JP,broken clouds
13,Carlagan,14.975,122.0456,81.37,76,83,15.86,PH,broken clouds
14,Butaritari,3.0707,172.7902,83.28,68,4,16.2,KI,clear sky
15,Ushuaia,-54.8,-68.3,42.46,56,20,24.16,AR,few clouds
16,Puerto Ayora,-0.7393,-90.3518,69.69,91,73,8.55,EC,broken clouds
17,Atherton,53.5237,-2.4935,51.3,87,100,8.01,GB,overcast clouds
18,Qaanaaq,77.484,-69.3632,13.03,65,99,8.77,GL,overcast clouds
19,Busselton,-33.65,115.3333,63.05,54,6,5.7,AU,clear sky
20,Albany,42.6001,-73.9662,48.61,76,90,3.0,US,overcast clouds
21,Kapaa,22.0752,-159.319,80.58,83,20,3.0,US,few clouds
22,Rikitea,-23.1203,-134.9692,75.54,81,100,15.68,PF,overcast clouds
23,Chuy,-33.6971,-53.4616,64.36,90,24,12.08,UY,few clouds
24,Kahului,20.8947,-156.47,84.22,68,20,16.11,US,few clouds
25,Juneau,58.3019,-134.4197,43.21,93,75,5.75,US,light rain
26,Aklavik,68.2191,-135.0107,25.63,98,85,3.87,CA,overcast clouds
27,Ancud,-41.8697,-73.8203,45.93,84,13,8.88,CL,few clouds
28,Jutai,-5.1833,-68.9,77.2,79,89,1.23,BR,overcast clouds
29,Kaeo,-35.1,173.7833,70.32,78,100,11.61,NZ,overcast clouds
30,Maniitsoq,65.4167,-52.9,32.49,80,100,13.18,GL,overcast clouds
31,Codrington,-38.2667,141.9667,56.53,61,30,17.11,AU,scattered clouds
32,La Ronge,55.1001,-105.2842,37.62,48,20,5.75,CA,few clouds
33,Carutapera,-1.195,-46.02,75.36,91,86,5.19,BR,light rain
34,Hermanus,-34.4187,19.2345,58.89,86,68,0.56,ZA,broken clouds
35,Acapulco,16.8634,-99.8901,84.02,79,20,4.61,MX,few clouds
36,Cacequi,-29.8836,-54.825,68.83,78,0,12.91,BR,clear sky
37,Puerto Escondido,15.85,-97.0667,80.89,84,54,3.62,MX,broken clouds
38,Jiaonan,35.8786,119.9753,59.02,55,0,5.95,CN,clear sky
39,Yellowknife,62.456,-114.3525,32.41,94,40,10.36,CA,scattered clouds
40,Lebu,-37.6167,-73.65,54.07,88,85,18.32,CL,overcast clouds
41,Vaini,-21.2,-175.2,71.76,94,75,10.36,TO,broken clouds
42,Carthage,36.8611,10.3316,60.33,88,20,2.3,TN,few clouds
43,Bredasdorp,-34.5322,20.0403,58.32,88,100,5.75,ZA,overcast clouds
44,Nikolskoye,59.7035,30.7861,49.01,92,52,8.59,RU,broken clouds
45,Dikson,73.5069,80.5464,6.49,89,100,16.04,RU,overcast clouds
46,Naryan-Mar,67.6713,53.087,15.6,81,100,10.11,RU,overcast clouds
47,Bluff,-46.6,168.3333,63.18,65,90,5.46,NZ,overcast clouds
48,Hithadhoo,-0.6,73.0833,83.68,71,99,14.85,MV,overcast clouds
49,Egvekinot,66.3167,-179.1667,-0.11,92,94,3.53,RU,overcast clouds
50,Cape Town,-33.9258,18.4232,63.09,83,75,1.99,ZA,broken clouds
51,San Jeronimo,-11.9472,-75.2829,51.8,74,51,3.36,PE,broken clouds
52,Acarau,-2.8856,-40.12,79.14,78,61,7.27,BR,broken clouds
53,Avarua,-21.2078,-159.775,77.05,65,75,10.36,CK,broken clouds
54,Aljezur,37.3191,-8.8033,68.49,93,100,18.79,PT,overcast clouds
55,Port Elizabeth,-33.918,25.5701,62.1,82,75,16.11,ZA,broken clouds
56,Sawtell,-30.3833,153.1,80.92,71,90,13.8,AU,overcast clouds
57,Lamar,33.6668,-95.5836,58.35,69,1,5.75,US,clear sky
58,Saint-Philippe,-21.3585,55.7679,69.48,82,55,8.25,RE,broken clouds
59,Punta Arenas,-53.15,-70.9167,44.11,65,3,8.61,CL,clear sky
60,Bokovskaya,49.229,41.8306,39.09,82,1,0.51,RU,clear sky
61,Taoudenni,22.6783,-3.9836,79.77,17,87,8.37,ML,overcast clouds
62,Laguna,38.421,-121.4238,73.24,75,1,3.44,US,clear sky
63,Khandbari,27.3747,87.2039,65.21,69,24,0.4,NP,few clouds
64,Coahuayana,18.7333,-103.6833,78.15,89,39,0.69,MX,scattered clouds
65,Barrow,71.2906,-156.7887,-0.38,78,1,10.36,US,clear sky
66,Mataura,-46.1927,168.8643,74.5,38,57,5.01,NZ,broken clouds
67,Adrar,20.5022,-10.0711,76.06,23,100,8.52,MR,overcast clouds
68,Bambous Virieux,-20.3428,57.7575,71.85,94,75,3.44,MU,broken clouds
69,Znamenka,52.4167,41.4311,38.19,89,44,7.38,RU,scattered clouds
70,Mahebourg,-20.4081,57.7,71.89,94,75,3.44,MU,broken clouds
71,Harlingen,26.1906,-97.6961,73.06,34,1,4.61,US,clear sky
72,Durban,-29.8579,31.0292,68.92,95,66,10.0,ZA,broken clouds
73,Tiksi,71.6872,128.8694,0.27,95,100,7.74,RU,overcast clouds
74,Ponta Do Sol,32.6667,-17.1,70.72,71,31,8.88,PT,scattered clouds
75,Kavieng,-2.5744,150.7967,85.78,67,86,8.03,PG,light rain
76,Samarai,-10.6167,150.6667,85.24,73,11,12.44,PG,few clouds
77,Ust-Kuyga,70.0167,135.6,7.21,97,100,3.13,RU,overcast clouds
78,Lavrentiya,65.5833,-171.0,16.86,80,100,5.5,RU,overcast clouds
79,Pisco,-13.7,-76.2167,62.65,82,0,14.97,PE,clear sky
80,Zhob,31.3411,69.4481,54.93,29,0,4.12,PK,clear sky
81,Castro,-24.7911,-50.0119,60.58,93,97,10.0,BR,light rain
82,Pistsovo,57.179,40.5298,45.7,92,100,12.1,RU,overcast clouds
83,Alofi,-19.0595,-169.9187,82.29,47,100,17.27,NU,overcast clouds
84,Nyurba,63.2842,118.3319,11.93,86,19,3.38,RU,few clouds
85,Monte Patria,-30.6919,-70.9467,67.69,54,0,1.32,CL,clear sky
86,Ahipara,-35.1667,173.1667,63.66,81,100,14.05,NZ,overcast clouds
87,Faanui,-16.4833,-151.75,78.76,74,11,16.44,PF,few clouds
88,Clyde River,70.4692,-68.5914,26.02,95,100,4.09,CA,overcast clouds
89,Airai,-8.9266,125.4092,78.28,42,97,1.68,TL,overcast clouds
90,Lompoc,34.6391,-120.4579,71.78,94,75,10.36,US,mist
91,Namibe,-15.1961,12.1522,65.88,85,57,2.73,AO,broken clouds
92,Viedma,-40.8135,-62.9967,68.9,80,100,22.57,AR,light rain
93,Licheng,23.2955,113.8284,66.13,81,100,4.09,CN,light rain
94,Esperance,-33.8667,121.9,62.44,53,0,4.29,AU,clear sky
95,Tubuala,9.5167,-79.0333,77.32,85,100,8.93,PA,overcast clouds
96,Sao Jose Da Coroa Grande,-8.8978,-35.1478,75.16,73,25,8.52,BR,scattered clouds
97,Biak,-0.9131,122.8766,84.99,63,99,1.28,ID,overcast clouds
98,Diapaga,12.0708,1.7889,79.57,34,98,4.97,BF,overcast clouds
99,Bengkulu,-3.8004,102.2655,83.16,72,91,2.53,ID,overcast clouds
100,Jamestown,42.097,-79.2353,47.52,92,90,5.01,US,light rain
101,Kaitangata,-46.2817,169.8464,67.35,58,26,14.65,NZ,scattered clouds
102,Dunedin,-45.8742,170.5036,59.81,90,33,11.01,NZ,scattered clouds
103,Oyem,1.5995,11.5793,66.81,99,97,0.4,GA,overcast clouds
104,Elizabethtown,37.694,-85.8591,57.07,97,90,3.44,US,drizzle
105,Seoul,37.5683,126.9778,58.57,56,0,9.22,KR,light rain
106,Hilo,19.7297,-155.09,86.29,69,1,5.75,US,clear sky
107,Victoria,22.2855,114.1577,77.38,84,97,1.99,HK,overcast clouds
108,Carnarvon,-24.8667,113.6333,80.67,22,0,17.27,AU,clear sky
109,Coihaique,-45.5752,-72.0662,42.75,52,0,3.44,CL,clear sky
110,Halifax,44.6453,-63.5724,44.6,92,6,1.99,CA,clear sky
111,Bulawayo,-20.15,28.5833,64.31,54,1,4.16,ZW,clear sky
112,Bonavista,48.6499,-53.1147,40.12,88,37,10.42,CA,scattered clouds
113,Saskylakh,71.9167,114.0833,-8.18,96,99,9.26,RU,overcast clouds
114,Northam,51.0333,-4.2167,56.82,91,100,16.13,GB,heavy intensity rain
115,Tessalit,20.1986,1.0114,78.94,26,37,10.38,ML,scattered clouds
116,Merauke,-8.4667,140.3333,85.5,67,100,11.56,ID,overcast clouds
117,Port Hedland,-20.3167,118.5667,82.45,54,14,6.91,AU,few clouds
118,Ierapetra,35.01,25.7353,65.14,72,79,10.0,GR,broken clouds
119,Constitucion,-35.3333,-72.4167,57.96,69,100,12.19,CL,overcast clouds
120,Ongwediva,-17.7833,15.7667,77.43,31,97,9.44,NA,overcast clouds
121,Pundaguitan,6.3711,126.1689,82.45,76,33,4.97,PH,scattered clouds
122,Fortuna,40.5982,-124.1573,60.93,72,90,8.05,US,overcast clouds
123,Katangi,23.45,79.7833,63.09,54,13,1.61,IN,few clouds
124,Urubicha,-15.3833,-62.95,77.5,66,45,1.74,BO,scattered clouds
125,Vangaindrano,-23.35,47.6,65.21,82,93,3.47,MG,overcast clouds
126,Sicamous,50.8331,-118.9856,45.59,97,64,1.5,CA,broken clouds
127,Vila Do Conde,41.3548,-8.7434,63.07,94,40,8.05,PT,scattered clouds
128,Leningradskiy,69.3833,178.4167,-10.26,93,20,4.54,RU,few clouds
129,Navsari,20.9524,72.9324,69.69,55,100,9.31,IN,overcast clouds
130,Vardo,70.3705,31.1107,37.33,77,6,21.61,NO,clear sky
131,Bilibino,68.0546,166.4372,-9.2,89,91,3.11,RU,overcast clouds
132,Dibulla,11.2725,-73.3091,78.44,88,100,4.54,CO,overcast clouds
133,Luwuk,-0.9516,122.7875,87.66,63,98,2.82,ID,overcast clouds
134,Hirara,24.8,125.2833,80.46,65,40,6.91,JP,scattered clouds
135,Aguimes,27.9054,-15.4461,65.03,67,40,10.36,ES,scattered clouds
136,Bandarbeyla,9.4942,50.8122,77.29,79,42,11.65,SO,light rain
137,Awjilah,29.1081,21.2869,66.16,77,0,8.32,LY,clear sky
138,Severo-Kurilsk,50.6789,156.125,42.13,81,80,17.4,RU,broken clouds
139,Oranjemund,-28.55,16.4333,58.1,85,0,6.58,NA,clear sky
140,Wakkanai,45.4094,141.6739,48.18,71,0,6.91,JP,clear sky
141,Clarence Town,-32.5833,151.7833,67.91,68,87,9.55,AU,overcast clouds
142,Ust-Barguzin,53.45,108.9833,29.07,52,18,4.52,RU,few clouds
143,Kousseri,12.0769,15.0306,75.16,33,82,2.3,CM,broken clouds
144,Tuktoyaktuk,69.4541,-133.0374,24.8,100,90,6.91,CA,light snow
145,Lagoa,39.05,-27.9833,68.5,87,92,22.28,PT,overcast clouds
146,Saint-Augustin,51.226,-58.6502,40.91,51,0,2.44,CA,clear sky
147,Klaksvik,62.2266,-6.589,43.72,82,100,10.74,FO,overcast clouds
148,Nome,64.5011,-165.4064,23.16,80,20,8.05,US,few clouds
149,Boa Vista,2.8197,-60.6733,84.18,65,20,2.3,BR,few clouds
150,Provideniya,64.3833,-173.3,13.19,67,83,3.15,RU,broken clouds
151,Port Hardy,50.6996,-127.4199,46.4,75,1,8.05,CA,clear sky
152,Margate,51.3813,1.3862,56.91,86,100,4.0,GB,overcast clouds
153,Kieta,-6.2167,155.6333,84.97,73,100,8.21,PG,moderate rain
154,Mar Del Plata,-38.0023,-57.5575,61.88,95,20,15.01,AR,few clouds
155,Chara,56.9064,118.2631,15.8,49,52,2.1,RU,broken clouds
156,Mporokoso,-9.3727,30.125,66.69,66,59,2.39,ZM,broken clouds
157,Puerto Ayacucho,5.6639,-67.6236,76.39,92,100,0.72,VE,overcast clouds
158,Itarema,-2.9248,-39.9167,78.44,80,35,6.78,BR,scattered clouds
159,Gra Liyia,35.0167,25.6833,65.12,72,83,10.0,GR,broken clouds
160,Tasiilaq,65.6145,-37.6368,26.76,69,25,8.34,GL,scattered clouds
161,Salalah,17.0151,54.0924,77.09,61,0,5.75,OM,clear sky
162,New Norfolk,-42.7826,147.0587,55.92,59,53,3.0,AU,broken clouds
163,Templemore,52.7947,-7.8339,42.73,94,29,5.55,IE,scattered clouds
164,Ambunti,-4.2365,142.8448,90.72,61,90,1.34,PG,overcast clouds
165,Torbay,47.6666,-52.7314,40.39,93,90,13.8,CA,light intensity drizzle
166,Palmer,42.1584,-72.3287,48.99,72,90,4.0,US,overcast clouds
167,Sofiyivka,48.0493,33.8746,35.76,75,0,6.55,UA,clear sky
168,Khatanga,71.9667,102.5,6.87,85,100,8.61,RU,overcast clouds
169,Yankton,42.8711,-97.3973,50.25,57,1,0.0,US,clear sky
170,Carballo,43.213,-8.691,57.9,95,100,4.47,ES,overcast clouds
171,Atuona,-9.8,-139.0333,77.67,70,7,12.37,PF,clear sky
172,Agirish,61.9247,63.0231,16.25,83,68,6.38,RU,broken clouds
173,Eureka,40.8021,-124.1637,61.2,76,97,1.01,US,overcast clouds
174,Bethel,41.3712,-73.414,54.48,79,90,5.99,US,overcast clouds
175,Salinopolis,-0.6136,-47.3561,78.13,84,56,8.9,BR,broken clouds
176,Buchanan,5.8808,-10.0467,75.97,91,100,5.84,LR,moderate rain
177,Touros,-5.1989,-35.4608,77.9,77,32,12.84,BR,scattered clouds
178,Pacific Grove,36.6177,-121.9166,70.0,89,20,1.99,US,few clouds
179,Kiunga,-6.1219,141.2906,83.05,82,82,1.12,PG,broken clouds
180,Gusinoye Ozero,51.1144,106.2614,31.35,45,10,3.83,RU,clear sky
181,Bernal,-5.45,-80.75,67.51,72,49,13.15,PE,scattered clouds
182,Cockburn Town,21.4612,-71.1419,82.53,68,32,12.08,TC,scattered clouds
183,Hasaki,35.7333,140.8333,64.29,44,0,2.01,JP,clear sky
184,Bakhmach,51.1808,32.7569,42.01,89,4,6.49,UA,clear sky
185,Ambon,-3.6954,128.1814,86.14,70,20,4.61,ID,few clouds
186,Amapa,1.0,-52.0,73.38,89,30,2.46,BR,scattered clouds
187,Mayuge,0.4597,33.4803,65.08,80,92,1.03,UG,overcast clouds
188,Nanpiao,41.0982,120.7479,60.58,50,1,4.94,CN,clear sky
189,Sitka,57.0531,-135.33,42.69,75,90,10.36,US,light rain
190,San Cristobal,7.7669,-72.225,71.78,98,100,1.88,VE,overcast clouds
191,Rawson,-43.3002,-65.1023,62.51,42,3,14.07,AR,clear sky
192,Deputatskiy,69.3,139.9,7.52,90,100,6.67,RU,overcast clouds
193,Petauke,-14.2426,31.3253,62.44,56,80,1.61,ZM,broken clouds
194,Naze,28.3667,129.4833,74.32,59,87,9.8,JP,overcast clouds
195,Asau,46.4333,26.4,40.28,91,0,2.13,RO,clear sky
196,Olafsvik,64.8945,-23.7142,39.99,91,100,27.89,IS,overcast clouds
197,Longyearbyen,78.2186,15.6401,26.44,63,40,11.5,SJ,scattered clouds
198,Georgetown,5.4112,100.3354,84.88,79,20,5.01,MY,few clouds
199,Tuatapere,-46.1333,167.6833,69.73,47,100,9.48,NZ,light rain
200,Hargeysa,9.56,44.065,59.85,93,59,11.03,SO,broken clouds
201,Pitimbu,-7.4706,-34.8086,77.59,73,69,14.52,BR,broken clouds
202,Cabedelo,-6.9811,-34.8339,77.67,75,94,15.52,BR,overcast clouds
203,Skelleftea,64.7507,20.9528,37.0,69,90,1.14,SE,mist
204,Santa Cruz,-17.8,-63.1667,80.06,69,35,6.91,BO,scattered clouds
205,Ginda,30.6945,78.4932,49.01,34,0,5.79,IN,clear sky
206,Reynosa,26.0833,-98.2833,75.04,34,1,4.61,MX,clear sky
207,Erenhot,43.6475,111.9767,38.77,52,99,14.07,CN,overcast clouds
208,Nanakuli,21.3906,-158.1547,85.37,57,40,8.05,US,scattered clouds
209,Miandrivazo,-19.5167,45.4667,73.94,68,87,2.86,MG,overcast clouds
210,Cayenne,4.9333,-52.3333,82.09,80,75,3.0,GF,broken clouds
211,Pangnirtung,66.1451,-65.7125,33.37,98,100,6.06,CA,snow
212,Katsuura,35.1333,140.3,62.71,51,36,4.43,JP,scattered clouds
213,Pevek,69.7008,170.3133,0.57,91,100,3.74,RU,overcast clouds
214,Karratha,-20.7377,116.8463,84.36,23,0,14.2,AU,clear sky
215,Sebezh,56.2955,28.4654,46.44,93,36,8.55,RU,scattered clouds
216,Altay,47.8667,88.1167,36.66,61,33,5.03,CN,scattered clouds
217,Cherskiy,68.75,161.3,-9.38,95,100,0.87,RU,overcast clouds
218,Pincher Creek,49.4833,-113.952,32.11,97,90,9.22,CA,light snow
219,Ende,-8.8432,121.6623,87.31,66,33,3.87,ID,scattered clouds
220,Okhotsk,59.3833,143.3,19.81,64,0,18.48,RU,clear sky
221,Hualmay,-11.0964,-77.6139,63.61,84,48,9.17,PE,scattered clouds
222,Hamilton,39.1834,-84.5333,57.76,97,90,3.44,US,light rain
223,Montepuez,-13.1256,38.9997,64.85,85,12,4.0,MZ,few clouds
224,Port Alfred,-33.5906,26.891,60.64,80,17,12.93,ZA,few clouds
225,Kangaatsiaq,68.3065,-53.4641,32.2,96,100,14.54,GL,light snow
226,Bathsheba,13.2167,-59.5167,79.41,73,20,11.5,BB,few clouds
227,Tchaourou,8.8865,2.5975,73.99,84,95,4.5,BJ,overcast clouds
